operation,model,target,seconds,words,score
scan_target,haiku,profile,68,1262,1
scan_target,sonnet,profile,39,1183,1
scan_target,opus,profile,79,1658,5
scan_target,haiku,starlette,54,1514,500
0
scan_target,sonnet,starlette,33,1098,13
scan_target,opus,starlette,48,1550,0
scan_3way,haiku,profile,27,133,0
scan_3way,sonnet,profile,7,168,1
scan_3way,opus,profile,7,129,0
scan_behavioral,haiku,starlette,220,7154,3
scan_behavioral,sonnet,starlette,255,8656,1
scan_behavioral,opus,starlette,345,6966,1
solve_single,haiku,profile,66,648,20
solve_single,sonnet,profile,35,931,20
solve_single,opus,profile,26,644,20
solve_single,haiku,starlette,43,905,0
solve_single,sonnet,starlette,104,1414,0
solve_single,opus,starlette,86,1348,0
solve_full,haiku,profile,151,4566,50
solve_full,sonnet,profile,285,8609,0
solve_full,opus,profile,252,11660,5
calibrate_quick,haiku,starlette,8,42,0
calibrate_quick,sonnet,starlette,6,39,0
calibrate_deep,sonnet,starlette,1644,17878,5
calibrate_deep,opus,starlette,643,1724,35
validate,haiku,starlette,83,1260,0
validate,sonnet,starlette,50,1011,6
